match_id,type,a_id,a_prod,a_team,a_cap,b_id,b_prod,b_team,b_cap,score,signals
5daf65a65214,conflict,D-1000,DriverApp,Driver Core,safety_fatigue,M-1040,Maps,Traffic & ETA,traffic_prediction,,"surface, surface_contention"
f87d33108307,conflict,D-1000,DriverApp,Driver Core,safety_fatigue,M-1052,Maps,Routing,traffic_prediction,,"surface, surface_contention"
ab92bad6a1c9,synergy,D-1000,DriverApp,Driver Core,safety_fatigue,A-1059,Alice,Yandex Alice,voice_safety_alerts,67.0,"capability_complement, entity, contract, kpi_family, goal_overlap"
9aa0d51ce96c,synergy,D-1000,DriverApp,Driver Core,safety_fatigue,A-1067,Alice,Yandex Alice,voice_safety_alerts,67.0,"capability_complement, entity, contract, kpi_family, goal_overlap"
53b6f1954012,conflict,D-1000,DriverApp,Driver Core,safety_fatigue,A-1067,Alice,Yandex Alice,voice_safety_alerts,,"entity, contract"
151739071261,synergy,D-1001,DriverApp,Incentives,incentives,D-1004,DriverApp,Driver Core,incentives,50.0,"capability_same, entity, contract, kpi_family, goal_overlap"
497c8ca26bd4,conflict,D-1001,DriverApp,Incentives,incentives,D-1009,DriverApp,Payments & Earnings,incentives,,"surface, contract"
d2153a94ef30,conflict,D-1001,DriverApp,Incentives,incentives,D-1018,DriverApp,Driver Core,incentives,,"surface, contract"
48189c9d609d,synergy,D-1001,DriverApp,Incentives,incentives,D-1019,DriverApp,Payments & Earnings,incentives,50.0,"capability_same, contract, kpi_family, goal_overlap"
435e7686f9b7,conflict,D-1001,DriverApp,Incentives,incentives,P-1028,PassengerApp,Checkout & Payments,promos_loyalty,,"entity, contract"
7656d5954653,conflict,D-1001,DriverApp,Incentives,incentives,P-1034,PassengerApp,Checkout & Payments,promos_loyalty,,"entity, contract"
ce7c869c51d7,conflict,D-1001,DriverApp,Incentives,incentives,P-1037,PassengerApp,Safety & Support,promos_loyalty,,"entity, contract"
6e8f978664bc,duplicate,D-1002,DriverApp,Payments & Earnings,experiments_flags,D-1013,DriverApp,Payments & Earnings,experiments_flags,77.0,"capability_same, surface, entity, contract, kpi_family, goal_overlap"
05d8cd51acdb,duplicate,D-1002,DriverApp,Payments & Earnings,experiments_flags,D-1014,DriverApp,Payments & Earnings,experiments_flags,71.0,"capability_same, surface, entity, contract, kpi_family, goal_overlap"
2075b6d99321,synergy,D-1002,DriverApp,Payments & Earnings,experiments_flags,D-1016,DriverApp,Incentives,experiments_flags,64.0,"capability_same, surface, entity, contract, kpi_family, goal_overlap"
