task_id,product,team,capability,surface,entity,contract,kpi_family,lever,goal,timeline_start,timeline_end
D-1000,DriverApp,Driver Core,safety_fatigue,navigation_overlay,safety_event,contract:safety_alerts_feed,safety,+,снизить время подачи; улучшить safety через safety fatigue,2025-01-15,2025-02-22
D-1001,DriverApp,Incentives,incentives,earnings_screen,bonus_scheme,contract:loyalty_promos_api,supply_time,+,повысить успешность сценариев; улучшить supply_time через incentives,2025-05-17,2025-07-15
D-1002,DriverApp,Payments & Earnings,experiments_flags,settings_screen,experiment,contract:flags_sdk,completion,+,повысить возвращаемость; улучшить completion через experiments flags,2025-07-17,2025-08-17
D-1003,DriverApp,Quality & Safety,earnings_insights,earnings_screen,driver,,satisfaction,+,снизить время подачи; улучшить satisfaction через earnings insights,2025-05-16,2025-07-02
D-1004,DriverApp,Driver Core,incentives,orders_feed,bonus_scheme,contract:loyalty_promos_api,supply_time,+,повысить доверие к маршруту и ETA; улучшить supply_time через incentives,2025-07-31,2025-09-03
D-1005,DriverApp,Quality & Safety,safety_fatigue,car_display_overlay,driver,contract:safety_alerts_feed,safety,+,уменьшить стресс в поездке; улучшить safety через safety fatigue,2025-03-05,2025-05-03
D-1006,DriverApp,Supply Growth,safety_fatigue,navigation_overlay,safety_event,contract:safety_alerts_feed,safety,+,ускорить оформление заказа; улучшить safety через safety fatigue,2025-04-25,2025-06-16
D-1007,DriverApp,Driver Core,onboarding_drivers,settings_screen,driver,contract:flags_sdk,acceptance,+,ускорить оформление заказа; улучшить acceptance через onboarding drivers,2025-01-27,2025-03-03
D-1008,DriverApp,Driver Core,dispatch_fairness,orders_feed,dispatch_policy,contract:dispatch_fairness_v2,satisfaction,+,снизить когнитивную нагрузку; улучшить satisfaction через dispatch fairness,2025-05-11,2025-06-29
D-1009,DriverApp,Payments & Earnings,incentives,earnings_screen,driver,contract:loyalty_promos_api,supply_time,+,ускорить оформление заказа; улучшить supply_time через incentives,2025-06-12,2025-07-23
D-1010,DriverApp,Driver Core,incentives,orders_feed,bonus_scheme,contract:loyalty_promos_api,supply_time,+,улучшить прозрачность правил; улучшить supply_time через incentives,2025-02-18,2025-04-06
D-1011,DriverApp,Payments & Earnings,support_disputes,settings_screen,help_ticket,,satisfaction,+,снизить когнитивную нагрузку; улучшить satisfaction через support disputes,2025-01-20,2025-03-16
D-1012,DriverApp,Support UX,support_disputes,settings_screen,order,,satisfaction,+,ускорить оформление заказа; улучшить satisfaction через support disputes,2025-08-01,2025-09-02
D-1013,DriverApp,Payments & Earnings,experiments_flags,settings_screen,experiment,contract:flags_sdk,completion,+,повысить успешность сценариев; улучшить completion через experiments flags,2025-04-20,2025-05-21
D-1014,DriverApp,Payments & Earnings,experiments_flags,settings_screen,experiment,contract:flags_sdk,completion,+,повысить доверие к маршруту и ETA; улучшить completion через experiments flags,2025-03-17,2025-04-24
