match_id,type,title,scenario,user_story,why_1,why_2,why_3,impact,urgency,step_1,step_2,step_3,source,plain_text
0e402bd1f133,conflict,Конфликт: Голосовые подсказки ↔ Скорость ответа голоса,Две фичи претендуют на один экран («Ответ голоса») и могут потянуть метрики в разные стороны. Без правил выкатов UX становится непредсказуемым.,"Как водитель/пассажир, я не хочу, чтобы изменения в интерфейсе мешали друг другу и ухудшали опыт.",Общий технический узел: API голосовых подсказок.,Обе функции меняют один и тот же экран: Ответ голоса.,Метрики тянут в разные стороны (успешное завершение поездок ↔ скорость/задержка).,Высокий риск ухудшения пользовательского опыта или метрик. Нужны правила и последовательность выката.,HIGH,"Зафиксировать ADR: варианты, гардрейлы, порядок выката.",Назначить 20‑мин медиэйшн.,Включить мониторинг ключевых метрик на период выката.,"A-1065, A-1068","Конфликт: Голосовые подсказки ↔ Скорость ответа голоса
Сценарий: Две фичи претендуют на один экран («Ответ голоса») и могут потянуть метрики в разные стороны. Без правил выкатов UX становится непредсказуемым.
История пользователя: Как водитель/пассажир, я не хочу, чтобы изменения в интерфейсе мешали друг другу и ухудшали опыт.
Почему:
• Общий технический узел: API голосовых подсказок.
• Обе функции меняют один и тот же экран: Ответ голоса.
• Метрики тянут в разные стороны (успешное завершение поездок ↔ скорость/задержка).
Эффект: Высокий риск ухудшения пользовательского опыта или метрик. Нужны правила и последовательность выката.
Что делаем:
• Зафиксировать ADR: варианты, гардрейлы, порядок выката.
• Назначить 20‑мин медиэйшн.
• Включить мониторинг ключевых метрик на период выката.
Источники: A-1065, A-1068.
"
f6b8132c9a8f,conflict,Конфликт: Прогноз трафика ↔ Прогноз трафика,Две фичи претендуют на один экран («Навигация в поездке») и могут потянуть метрики в разные стороны. Без правил выкатов UX становится непредсказуемым.,"Как пользователь, я не хочу, чтобы изменения в интерфейсе мешали друг другу и ухудшали опыт.",Общий технический узел: API расчёта ETA.,Обе функции меняют один и тот же экран: Навигация в поездке.,Работа с одним и тем же объектом: модель ETA.,Локальный риск пересечения работ — нужно согласовать приоритеты.,LOW,"Зафиксировать ADR: варианты, гардрейлы, порядок выката.",Назначить 20‑мин медиэйшн.,Включить мониторинг ключевых метрик на период выката.,"M-1040, M-1052","Конфликт: Прогноз трафика ↔ Прогноз трафика
Сценарий: Две фичи претендуют на один экран («Навигация в поездке») и могут потянуть метрики в разные стороны. Без правил выкатов UX становится непредсказуемым.
История пользователя: Как пользователь, я не хочу, чтобы изменения в интерфейсе мешали друг другу и ухудшали опыт.
Почему:
• Общий технический узел: API расчёта ETA.
• Обе функции меняют один и тот же экран: Навигация в поездке.
• Работа с одним и тем же объектом: модель ETA.
Эффект: Локальный риск пересечения работ — нужно согласовать приоритеты.
Что делаем:
• Зафиксировать ADR: варианты, гардрейлы, порядок выката.
• Назначить 20‑мин медиэйшн.
• Включить мониторинг ключевых метрик на период выката.
Источники: M-1040, M-1052.
"
efc13d5c5cea,conflict,Конфликт: Промо и лояльность ↔ Промо и лояльность,Две фичи претендуют на один экран («Оформление заказа») и могут потянуть метрики в разные стороны. Без правил выкатов UX становится непредсказуемым.,"Как пассажир, я не хочу, чтобы изменения в интерфейсе мешали друг другу и ухудшали опыт.",Общий технический узел: API промо/лояльности.,Обе функции меняют один и тот же экран: Оформление заказа.,Работа с одним и тем же объектом: схема доплат.,Локальный риск пересечения работ — нужно согласовать приоритеты.,LOW,"Зафиксировать ADR: варианты, гардрейлы, порядок выката.",Назначить 20‑мин медиэйшн.,Включить мониторинг ключевых метрик на период выката.,"P-1028, P-1037","Конфликт: Промо и лояльность ↔ Промо и лояльность
Сценарий: Две фичи претендуют на один экран («Оформление заказа») и могут потянуть метрики в разные стороны. Без правил выкатов UX становится непредсказуемым.
История пользователя: Как пассажир, я не хочу, чтобы изменения в интерфейсе мешали друг другу и ухудшали опыт.
Почему:
• Общий технический узел: API промо/лояльности.
• Обе функции меняют один и тот же экран: Оформление заказа.
• Работа с одним и тем же объектом: схема доплат.
Эффект: Локальный риск пересечения работ — нужно согласовать приоритеты.
Что делаем:
• Зафиксировать ADR: варианты, гардрейлы, порядок выката.
• Назначить 20‑мин медиэйшн.
• Включить мониторинг ключевых метрик на период выката.
Источники: P-1028, P-1037.
"
00916e4f919b,conflict,Конфликт: Скорость ответа голоса ↔ Автомобильный режим,Две фичи претендуют на один экран («Ответ голоса») и могут потянуть метрики в разные стороны. Без правил выкатов UX становится непредсказуемым.,"Как водитель/пассажир, я не хочу, чтобы изменения в интерфейсе мешали друг другу и ухудшали опыт.",Обе функции меняют один и тот же экран: Ответ голоса.,Работа с одним и тем же объектом: сессия.,Метрики тянут в разные стороны (скорость/задержка ↔ удовлетворённость (NPS/CSAT)).,Высокий риск ухудшения пользовательского опыта или метрик. Нужны правила и последовательность выката.,HIGH,"Зафиксировать ADR: варианты, гардрейлы, порядок выката.",Назначить 20‑мин медиэйшн.,Включить мониторинг ключевых метрик на период выката.,"A-1058, A-1069","Конфликт: Скорость ответа голоса ↔ Автомобильный режим
Сценарий: Две фичи претендуют на один экран («Ответ голоса») и могут потянуть метрики в разные стороны. Без правил выкатов UX становится непредсказуемым.
История пользователя: Как водитель/пассажир, я не хочу, чтобы изменения в интерфейсе мешали друг другу и ухудшали опыт.
Почему:
• Обе функции меняют один и тот же экран: Ответ голоса.
• Работа с одним и тем же объектом: сессия.
• Метрики тянут в разные стороны (скорость/задержка ↔ удовлетворённость (NPS/CSAT)).
Эффект: Высокий риск ухудшения пользовательского опыта или метрик. Нужны правила и последовательность выката.
Что делаем:
• Зафиксировать ADR: варианты, гардрейлы, порядок выката.
• Назначить 20‑мин медиэйшн.
• Включить мониторинг ключевых метрик на период выката.
Источники: A-1058, A-1069.
"
22f1e55bbec5,conflict,Конфликт: Точки входа/подъезды ↔ Качество мест (POI),Две фичи претендуют на один экран («Экран карты») и могут потянуть метрики в разные стороны. Без правил выкатов UX становится непредсказуемым.,"Как пользователь, я не хочу, чтобы изменения в интерфейсе мешали друг другу и ухудшали опыт.",Общий технический узел: API точек входа/подъездов.,Обе функции меняют один и тот же экран: Экран карты.,Работа с одним и тем же объектом: место (POI).,Локальный риск пересечения работ — нужно согласовать приоритеты.,LOW,"Зафиксировать ADR: варианты, гардрейлы, порядок выката.",Назначить 20‑мин медиэйшн.,Включить мониторинг ключевых метрик на период выката.,"M-1049, M-1055","Конфликт: Точки входа/подъезды ↔ Качество мест (POI)
Сценарий: Две фичи претендуют на один экран («Экран карты») и могут потянуть метрики в разные стороны. Без правил выкатов UX становится непредсказуемым.
История пользователя: Как пользователь, я не хочу, чтобы изменения в интерфейсе мешали друг другу и ухудшали опыт.
Почему:
• Общий технический узел: API точек входа/подъездов.
• Обе функции меняют один и тот же экран: Экран карты.
• Работа с одним и тем же объектом: место (POI).
Эффект: Локальный риск пересечения работ — нужно согласовать приоритеты.
Что делаем:
• Зафиксировать ADR: варианты, гардрейлы, порядок выката.
• Назначить 20‑мин медиэйшн.
• Включить мониторинг ключевых метрик на период выката.
Источники: M-1049, M-1055.
"
5ee1bcc01135,conflict,Конфликт: Точки входа/подъезды ↔ Точки входа/подъезды,Две фичи претендуют на один экран («Зона подачи») и могут потянуть метрики в разные стороны. Без правил выкатов UX становится непредсказуемым.,"Как пользователь, я не хочу, чтобы изменения в интерфейсе мешали друг другу и ухудшали опыт.",Общий технический узел: API точек входа/подъездов.,Обе функции меняют один и тот же экран: Зона подачи.,Работа с одним и тем же объектом: место (POI).,Локальный риск пересечения работ — нужно согласовать приоритеты.,LOW,"Зафиксировать ADR: варианты, гардрейлы, порядок выката.",Назначить 20‑мин медиэйшн.,Включить мониторинг ключевых метрик на период выката.,"M-1043, M-1045","Конфликт: Точки входа/подъезды ↔ Точки входа/подъезды
Сценарий: Две фичи претендуют на один экран («Зона подачи») и могут потянуть метрики в разные стороны. Без правил выкатов UX становится непредсказуемым.
История пользователя: Как пользователь, я не хочу, чтобы изменения в интерфейсе мешали друг другу и ухудшали опыт.
Почему:
• Общий технический узел: API точек входа/подъездов.
• Обе функции меняют один и тот же экран: Зона подачи.
• Работа с одним и тем же объектом: место (POI).
Эффект: Локальный риск пересечения работ — нужно согласовать приоритеты.
Что делаем:
• Зафиксировать ADR: варианты, гардрейлы, порядок выката.
• Назначить 20‑мин медиэйшн.
• Включить мониторинг ключевых метрик на период выката.
Источники: M-1043, M-1045.
"
b51922b12593,conflict,Конфликт: Голосовые оповещения о рисках ↔ Голосовые оповещения о рисках,Две фичи претендуют на один экран («Ответ голоса») и могут потянуть метрики в разные стороны. Без правил выкатов UX становится непредсказуемым.,"Как водитель/пассажир, я не хочу, чтобы изменения в интерфейсе мешали друг другу и ухудшали опыт.",Общий технический узел: Фид голосовых предупреждений.,Обе функции меняют один и тот же экран: Ответ голоса.,Работа с одним и тем же объектом: событие безопасности.,Локальный риск пересечения работ — нужно согласовать приоритеты.,LOW,"Зафиксировать ADR: варианты, гардрейлы, порядок выката.",Назначить 20‑мин медиэйшн.,Включить мониторинг ключевых метрик на период выката.,"A-1059, A-1060","Конфликт: Голосовые оповещения о рисках ↔ Голосовые оповещения о рисках
Сценарий: Две фичи претендуют на один экран («Ответ голоса») и могут потянуть метрики в разные стороны. Без правил выкатов UX становится непредсказуемым.
История пользователя: Как водитель/пассажир, я не хочу, чтобы изменения в интерфейсе мешали друг другу и ухудшали опыт.
Почему:
• Общий технический узел: Фид голосовых предупреждений.
• Обе функции меняют один и тот же экран: Ответ голоса.
• Работа с одним и тем же объектом: событие безопасности.
Эффект: Локальный риск пересечения работ — нужно согласовать приоритеты.
Что делаем:
• Зафиксировать ADR: варианты, гардрейлы, порядок выката.
• Назначить 20‑мин медиэйшн.
• Включить мониторинг ключевых метрик на период выката.
Источники: A-1059, A-1060.
"
7cbb300cbcf9,conflict,Конфликт: Справедливая раздача заказов ↔ Справедливая раздача заказов,Две фичи претендуют на один экран («Лента заказов») и могут потянуть метрики в разные стороны. Без правил выкатов UX становится непредсказуемым.,"Как водитель, я не хочу, чтобы изменения в интерфейсе мешали друг другу и ухудшали опыт.",Общий технический узел: Контракт справедливой раздачи v2.,Обе функции меняют один и тот же экран: Лента заказов.,Работа с одним и тем же объектом: правило раздачи.,Локальный риск пересечения работ — нужно согласовать приоритеты.,LOW,"Зафиксировать ADR: варианты, гардрейлы, порядок выката.",Назначить 20‑мин медиэйшн.,Включить мониторинг ключевых метрик на период выката.,"D-1008, D-1015","Конфликт: Справедливая раздача заказов ↔ Справедливая раздача заказов
Сценарий: Две фичи претендуют на один экран («Лента заказов») и могут потянуть метрики в разные стороны. Без правил выкатов UX становится непредсказуемым.
История пользователя: Как водитель, я не хочу, чтобы изменения в интерфейсе мешали друг другу и ухудшали опыт.
Почему:
• Общий технический узел: Контракт справедливой раздачи v2.
• Обе функции меняют один и тот же экран: Лента заказов.
• Работа с одним и тем же объектом: правило раздачи.
Эффект: Локальный риск пересечения работ — нужно согласовать приоритеты.
Что делаем:
• Зафиксировать ADR: варианты, гардрейлы, порядок выката.
• Назначить 20‑мин медиэйшн.
• Включить мониторинг ключевых метрик на период выката.
Источники: D-1008, D-1015.
"
3378b5ba0ffe,conflict,Конфликт: Промо и лояльность ↔ Промо и лояльность,Две фичи претендуют на один экран («Оформление заказа») и могут потянуть метрики в разные стороны. Без правил выкатов UX становится непредсказуемым.,"Как пассажир, я не хочу, чтобы изменения в интерфейсе мешали друг другу и ухудшали опыт.",Общий технический узел: API промо/лояльности.,Обе функции меняют один и тот же экран: Оформление заказа.,Работа с одним и тем же объектом: схема доплат.,Локальный риск пересечения работ — нужно согласовать приоритеты.,LOW,"Зафиксировать ADR: варианты, гардрейлы, порядок выката.",Назначить 20‑мин медиэйшн.,Включить мониторинг ключевых метрик на период выката.,"P-1034, P-1037","Конфликт: Промо и лояльность ↔ Промо и лояльность
Сценарий: Две фичи претендуют на один экран («Оформление заказа») и могут потянуть метрики в разные стороны. Без правил выкатов UX становится непредсказуемым.
История пользователя: Как пассажир, я не хочу, чтобы изменения в интерфейсе мешали друг другу и ухудшали опыт.
Почему:
• Общий технический узел: API промо/лояльности.
• Обе функции меняют один и тот же экран: Оформление заказа.
• Работа с одним и тем же объектом: схема доплат.
Эффект: Локальный риск пересечения работ — нужно согласовать приоритеты.
Что делаем:
• Зафиксировать ADR: варианты, гардрейлы, порядок выката.
• Назначить 20‑мин медиэйшн.
• Включить мониторинг ключевых метрик на период выката.
Источники: P-1034, P-1037.
"
2fb6bfac50cd,conflict,Конфликт: Промо и лояльность ↔ Промо и лояльность,Две фичи претендуют на один экран («Оформление заказа») и могут потянуть метрики в разные стороны. Без правил выкатов UX становится непредсказуемым.,"Как пассажир, я не хочу, чтобы изменения в интерфейсе мешали друг другу и ухудшали опыт.",Общий технический узел: API промо/лояльности.,Обе функции меняют один и тот же экран: Оформление заказа.,Работа с одним и тем же объектом: схема доплат.,Локальный риск пересечения работ — нужно согласовать приоритеты.,LOW,"Зафиксировать ADR: варианты, гардрейлы, порядок выката.",Назначить 20‑мин медиэйшн.,Включить мониторинг ключевых метрик на период выката.,"P-1028, P-1034","Конфликт: Промо и лояльность ↔ Промо и лояльность
Сценарий: Две фичи претендуют на один экран («Оформление заказа») и могут потянуть метрики в разные стороны. Без правил выкатов UX становится непредсказуемым.
История пользователя: Как пассажир, я не хочу, чтобы изменения в интерфейсе мешали друг другу и ухудшали опыт.
Почему:
• Общий технический узел: API промо/лояльности.
• Обе функции меняют один и тот же экран: Оформление заказа.
• Работа с одним и тем же объектом: схема доплат.
Эффект: Локальный риск пересечения работ — нужно согласовать приоритеты.
Что делаем:
• Зафиксировать ADR: варианты, гардрейлы, порядок выката.
• Назначить 20‑мин медиэйшн.
• Включить мониторинг ключевых метрик на период выката.
Источники: P-1028, P-1034.
"
